"Saint-Germain-sur-Ay","49.2351","-1.59444"
"Rollegem","50.76565","3.26317"
"Saint-Lô-d'Ourville","49.33333","-1.66667"
"Vanves","48.82345","2.29025"
"Surville","49.28242","-1.64883"
"Glatigny","49.27696","-1.63035"
"Longfossé","50.65217","1.80693"
"Lixhausen","48.79431","7.54829"
"Ligny-lès-Aire","50.55714","2.34907"
"Tatinghem","50.74317","2.20724"
"Brion-sur-Ource","47.9154","4.66148"
"Arras","50.29301","2.78186"
"Recey-sur-Ource","47.77947","4.86126"
"Polisot","48.07168","4.37147"
"Neuville-sur-Seine","48.04062","4.41167"
"Arrelles","48.04905","4.27568"
"Breda","51.58656","4.77596"
"Baudreville","49.30495","-1.63157"
"Quelmes","50.73333","2.13758"
"Luingne","50.73952","3.23602"
"Bavikhove","50.87532","3.31062"
"Romain-aux-Bois","48.08209","5.71845"
"Wattrelos","50.70118","3.21812"
"Waardamme","51.11136","3.22288"
"Saint-Pé-de-Bigorre","43.11667","-0.15"
"Asson","43.15","-0.25"
"Aubertin","43.26667","-0.48333"
"Igon","43.16667","-0.23333"
"Kanegem","51.0129","3.40188"
"Herrère","43.16667","-0.53333"
"Auchel","50.50345","2.47346"
"Gumbrechtshoffen","48.9058","7.62915"
"Fauquembergues","50.60052","2.09875"
"Reichshoffen","48.93287","7.66561"
"Saint-Denis - Paroisse Saint Rémy","48.93546","2.370117"
"Brias","50.4097","2.3799"
"Desvres","50.66884","1.83478"
"Tierville","0","0"
"Wittes","50.66998","2.39141"
"Lichtervelde","51.1","3.76667"
"Rekkem","50.84849","3.62845"
"Angoville-sur-Ay","49.25292","-1.54925"
"Zedelgem","51.14236","3.1368"
"Lille - Paroisse Saint Etienne","50.635158","3.059786"
"Wizernes","50.7117","2.24316"
"Lompret","50.66931","2.98968"
"Coulogne","50.92463","1.88137"
"Lillers","50.56345","2.48042"
"Templeuve","50.64077","3.33273"
"Oostkamp","51.15432","3.23128"
"Neuville-en-Ferrain","50.74839","3.15676"
"Roeselare","50.94653","3.12269"
"Fiennes","50.8274","1.82533"
"Genech","50.53122","3.21651"
"Belval (Troisvaux)","50.4025","2.343611"
"Lacommande","43.28333","-0.5"
"Gurmençon","43.15","-0.6"
"Lessay","49.21703","-1.53089"
"Verpillières-sur-Ource","48.04029","4.56884"
"Sint-Eloois-Winkel","50.87591","3.18144"
"Saint-Martin-Choquel","50.67805","1.88851"
"Ingelmunster","50.92081","3.25571"
"Le Wast","50.74907","1.80134"
"Hazebrouck","50.72374","2.53729"
